Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Company_Type,Release_Era,Is_Successful,Sales_Category,NA_Sales_Pct,EU_Sales_Pct,JP_Sales_Pct,Other_Sales_Pct
Wii Sports,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8,322.0,Nintendo,E,AAA,2000s,True,blockbuster,50.11510965709439,35.09027020477402,4.568035865745789,10.238701078395735
Super Mario Bros.,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,69.5,,,,,,AAA,1980s,True,blockbuster,72.26640159045725,8.896620278330019,16.9234592445328,1.9135188866799202
Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0,Nintendo,E,AAA,2000s,True,blockbuster,44.144144144144136,35.923423423423415,10.670045045045045,9.262387387387387
Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8,192.0,Nintendo,E,AAA,2000s,True,blockbuster,47.63503204150137,33.353677143729016,10.009154714678058,9.002136100091548
Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,69.5,,,,,,AAA,1990s,True,blockbuster,35.92604399107427,28.339177558176605,32.578897035384124,3.1877590054191907
Tetris,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,69.5,,,,,,AAA,1980s,True,blockbuster,76.66886979510905,7.468605419695967,13.945803040317248,1.9167217448777263
New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0,Nintendo,E,AAA,2000s,True,blockbuster,37.85234899328859,30.67114093959732,21.812080536912752,9.664429530201343
Wii Play,Wii,2006.0,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0,Nintendo,E,AAA,2000s,True,blockbuster,48.27109266943292,31.742738589211616,10.131396957123098,9.820193637621022
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0,Nintendo,E,AAA,2000s,True,blockbuster,50.988700564971744,24.505649717514125,16.596045197740114,7.909604519774012
Duck Hunt,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,69.5,,,,,,AAA,1980s,True,blockbuster,95.12539738608265,2.2253620628753095,0.9890498057223597,1.660190745319675
Nintendogs,DS,2005.0,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,65.5,,,,,,AAA,2000s,True,blockbuster,36.684231860559386,44.38589379813538,7.823267126064044,11.106607215241183
Mario Kart DS,DS,2005.0,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0,Nintendo,E,AAA,2000s,True,blockbuster,41.83541576906506,32.184403274450666,17.794054286945283,8.186126669538991
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,69.5,,,,,,AAA,1990s,True,blockbuster,38.96103896103896,26.75324675324675,31.16883116883117,3.073593073593073
Wii Fit,Wii,2007.0,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0,Nintendo,E,AAA,2000s,True,blockbuster,39.29515418502203,35.37444933920705,15.859030837004406,9.47136563876652
Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,AAA,2010s,True,blockbuster,68.7757909215956,22.420907840440165,1.1004126547455295,7.748739110499771
Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0,Nintendo,E,AAA,2000s,True,blockbuster,41.34924277191372,38.96282698485544,11.61083065626434,8.12299219825608
Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,AAA,2010s,True,blockbuster,33.365019011406844,43.20342205323194,4.657794676806084,18.8212927756654
Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9,1588.0,Rockstar North,M,AAA,2000s,True,blockbuster,45.31475252282557,1.9221528111484865,1.9702066314271984,50.79288803459876
Super Mario World,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,69.5,,,,,,AAA,1990s,True,blockbuster,62.00873362445415,18.19505094614265,17.17612809315866,2.668607472100922
Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0,Nintendo,E,AAA,2000s,True,blockbuster,23.52357320099256,45.6575682382134,20.645161290322584,10.124069478908188
Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,70.0,,,,,,AAA,2000s,True,blockbuster,34.95890410958904,24.438356164383563,33.09589041095891,7.452054794520549
Super Mario Land,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,69.5,,,,,,AAA,1980s,True,blockbuster,59.702315325248065,14.939360529217199,23.042998897464166,2.315325248070562
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,69.5,,,,,,AAA,1980s,True,blockbuster,55.20833333333333,19.90740740740741,22.22222222222222,2.662037037037037
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,AAA,2010s,True,blockbuster,59.37307928703135,31.591886908420403,0.36877688998156116,8.666256914566686
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,AAA,2000s,True,blockbuster,52.07430340557276,33.99380804953561,2.910216718266254,11.021671826625388
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,76.0,,,,,,AAA,2000s,True,blockbuster,38.23343848580441,24.605678233438486,33.943217665615144,3.1545741324921135
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0,Nintendo,E,AAA,2000s,True,blockbuster,22.432962720732508,34.99018966644866,34.79398299542184,7.7174623937213855
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,70.0,,,,,,AAA,2010s,True,blockbuster,36.39365918097754,20.93791281373844,37.31836195508586,5.284015852047556
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,AAA,2000s,True,blockbuster,45.727636849132175,33.97863818424566,12.483311081441922,7.74365821094793
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,AAA,2010s,True,blockbuster,61.3713509843856,28.78479293957909,0.8825526137135099,8.961303462321792
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,69.5,,,,,,AAA,1990s,True,blockbuster,40.23224043715847,34.42622950819672,21.311475409836063,4.030054644808743
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,76.0,,,,,,AAA,2010s,True,blockbuster,41.21667805878332,40.054682159945315,2.4606971975393024,16.267942583732058
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,AAA,2010s,True,blockbuster,66.39288158795345,25.188227241615337,0.7529089664613279,7.734428473648186
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,74.0,,,,,,AAA,2010s,True,blockbuster,36.16438356164384,28.698630136986303,29.794520547945204,5.342465753424658
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,AAA,2010s,True,blockbuster,36.18564176939812,41.55184916606237,4.7135605511240035,17.548948513415517
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,AAA,2010s,True,blockbuster,60.35113386978785,31.016825164594003,0.5120702267739576,8.193123628383322
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,AAA,2000s,True,blockbuster,63.25167037861915,26.651818856718634,0.5939123979213066,9.502598366740905
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,AAA,2010s,True,blockbuster,41.591591591591595,43.018018018018026,3.6786786786786783,11.786786786786788
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,AAA,2000s,True,blockbuster,53.35877862595421,34.42748091603053,2.2900763358778624,9.923664122137406
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,AAA,2000s,True,blockbuster,51.557632398753896,19.859813084112147,20.716510903426794,7.8660436137071645
Mario Kart 7,3DS,2011.0,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,AAA,2010s,True,blockbuster,39.73143759873618,31.753554502369663,21.248025276461295,7.187993680884676
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,AAA,2010s,True,blockbuster,47.42676167854315,34.600158353127476,3.800475059382422,14.172604908946951
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,AAA,2010s,True,blockbuster,31.403647898493258,50.039651070578905,3.013481363996828,15.622521808088818
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,AAA,2000s,True,blockbuster,20.61005770816158,28.441879637262986,43.94064303380049,7.089859851607584
